id,faixa_etaria,sexo,estado,cidade,bairro,tempo_desaparecido_dias,cor_olhos,tipo_cabelo,estava_acompanhada,estado_civil,cidade_desaparecimento,data_ocorrido_desaparecimento,encontrado
1,18-29,Masculino,PB,Juazeirinho,Arnaldo lafaerty,1542.0,Pretos,Ondulados,Não,Solteiro (a),Juazeirinho,2021-05-14T11:00:00.000+0000,0
2,45-59,Masculino,PE,Vertente do Lério,Centro,897.0,Castanhos,Encaracolados,Não,Solteiro (a),Sousa,2023-02-18T10:00:00.000+0000,0
3,30-44,Masculino,PB,Umbuzeiro,UMBURETAMA,1544.0,Castanhos,Ondulados,Não,Solteiro (a),Umbuzeiro,2021-05-12T12:00:00.000+0000,0
4,18-29,Masculino,BA,Salvador,Manaira,1042.0,Pretos,Encaracolados,Não,Solteiro (a),João Pessoa,2022-09-26T11:00:00.000+0000,0
5,30-44,Masculino,PB,Campina Grande,Jardim Paulistano,579.0,Castanhos,Lisos,Não,Solteiro (a),Campina Grande,2024-01-02T18:17:00.000+0000,1
6,12-17,Feminino,PB,João Pessoa,Água Fria,752.0,Castanhos,Ondulados,Não,Solteiro (a),João Pessoa,2023-07-12T23:15:00.000+0000,0
7,12-17,Masculino,PB,Campina Grande,Nossa Senhora da Conceição,2133.0,Pretos,Encaracolados,Não,Solteiro (a),Conde,2019-10-01T15:50:00.000+0000,0
8,18-29,Masculino,PB,Campina Grande,Zona Rural,991.0,Castanhos,Encaracolados,Não,Solteiro (a),Boa Vista,2022-11-16T02:00:00.000+0000,0
9,30-44,Masculino,PB,Campina Grande,Tambauzinho,818.0,Castanhos,Lisos,Não,Solteiro (a),João Pessoa,2023-05-08T11:30:00.000+0000,0
10,12-17,Masculino,PB,Campina Grande,Tambor,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
11,18-29,Masculino,RJ,Cabo Frio,Pedro Gondim,1036.0,Castanhos,Ondulados,Sim,Solteiro (a),João Pessoa,2022-10-02T10:22:00.000+0000,0
12,60+,Masculino,CE,Barro,Jardim São Paulo,5684.0,Pretos,Lisos,Não,Solteiro (a),Cajazeiras,2010-01-10T12:50:00.000+0000,0
13,45-59,Masculino,PB,João Pessoa,Ernani Sátiro,651.0,Pretos,Lisos,Não,Solteiro (a),João Pessoa,2023-10-22T19:00:00.000+0000,0
14,45-59,Masculino,PB,Campina Grande,Catolé,970.0,Castanhos,Ondulados,Não,Divorciado (a),João Pessoa,2022-12-07T18:00:00.000+0000,0
15,30-44,Feminino,PE,TIMBAUBA,RUA COSTUREIRA RODRIGUES ALVES,796.0,Castanhos,Ondulados,Não,Solteiro (a),João Pessoa,2023-05-30T08:00:00.000+0000,0
16,18-29,Masculino,PB,Patos,São Sebastião,1089.0,Castanhos,Lisos,Sim,Solteiro (a),Patos,2022-08-09T19:54:00.000+0000,0
17,30-44,Masculino,PB,Queimadas,Castanho,-1.0,Castanhos,Ondulados,Sim,Solteiro (a),Desconhecido,Desconhecido,0
18,18-29,Masculino,BA,Sobradinho,Valentina de Figueiredo,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
19,18-29,Masculino,RN,Natal,natal,2014.0,Castanhos,Lisos,Não,União Estável,Campina Grande,2020-01-28T12:06:00.000+0000,0
20,18-29,Masculino,PB,João Pessoa,Valentina de Figueiredo,1388.0,Pretos,Lisos,Não,Solteiro (a),João Pessoa,2021-10-15T18:00:00.000+0000,0
21,18-29,Masculino,AL,Maceió,Mangabeira,1149.0,Verdes,Lisos,Não,Solteiro (a),João Pessoa,2022-06-11T10:00:00.000+0000,0
22,30-44,Masculino,PE,CARUARU,NOVA PALESTINA,1537.0,Castanhos,Lisos,Não,Casado (a),Cajazeiras,2021-05-19T10:00:00.000+0000,0
23,60+,Feminino,PB,João Pessoa,Gramame,589.0,Castanhos,Nenhuma das opções,Não,Casado (a),Desconhecido,2023-12-23T09:00:00.000+0000,0
24,18-29,Feminino,PB,João Pessoa,Bancários,1292.0,Castanhos,Ondulados,Não,Solteiro (a),João Pessoa,2022-01-18T22:30:00.000+0000,0
25,12-17,Masculino,PB,Conde,Centro,1856.0,Castanhos,Lisos,Não,Solteiro (a),Conde,2020-07-03T20:00:00.000+0000,0
26,30-44,Masculino,PB,Mari,SILVINO COSTA,2223.0,Castanhos,Encaracolados,Não,Solteiro (a),Mari,2019-07-02T22:20:00.000+0000,0
27,0-11,Feminino,PB,Monteiro,Multirao,-1.0,Castanhos,Lisos,Sim,Solteiro (a),Desconhecido,Desconhecido,0
28,30-44,Masculino,BA,Salvador,Mussurunga 2,994.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,2022-11-13T15:00:00.000+0000,0
29,60+,Masculino,BA,Itabuna,Mangabeira,1248.0,Pretos,Lisos,Não,Casado (a),João Pessoa,2022-03-04T16:00:00.000+0000,0
30,60+,Masculino,PB,Santa Rita,Aldeia Monte Mor,1389.0,Verdes,Lisos,Não,Solteiro (a),Rio Tinto,2021-10-14T17:00:00.000+0000,0
31,60+,Masculino,PB,Itabaiana,Manaíra,2185.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,2019-08-10T12:30:00.000+0000,0
32,30-44,Masculino,PB,Patos,Centro,1206.0,Castanhos,Nenhuma das opções,Não,Solteiro (a),Patos,2022-04-15T11:00:00.000+0000,0
33,30-44,Feminino,PB,Guarabira,Multirão,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
34,45-59,Masculino,PB,Sapé,ZONA RURAL,-1.0,Castanhos,Nenhuma das opções,Não,Solteiro (a),Desconhecido,Desconhecido,0
35,45-59,Masculino,RN,Passa e Fica,Americanópolis,1499.0,Castanhos,Lisos,Não,Solteiro (a),Guarabira,2021-06-26T17:00:00.000+0000,0
36,18-29,Masculino,PB,Santa Rita,Tibiri 2,1332.0,Pretos,Encaracolados,Não,Solteiro (a),Santa Rita,2021-12-10T04:00:00.000+0000,0
37,30-44,Masculino,RN,Maxaranguape,CENTRO,1460.0,Castanhos,Lisos,Não,Solteiro (a),Pitimbu,2021-08-04T13:00:00.000+0000,0
38,45-59,Masculino,PB,Teixeira,Zona rural,1319.0,Pretos,Lisos,Não,Solteiro (a),Desconhecido,2021-12-23T02:00:00.000+0000,0
39,0-11,Masculino,PB,JOAO PESSOA,Ernesto Geisel,1314.0,Castanhos,Ondulados,Não,União Estável,Bayeux,2021-12-27T23:31:00.000+0000,0
40,18-29,Feminino,PB,JOAO PESSOA,PRAIA DE JACUMA,680.0,Pretos,Lisos,Sim,Solteiro (a),Conde,2023-09-23T17:55:00.000+0000,0
41,45-59,Masculino,RO,Porto Velho,Expedicionários,1773.0,Castanhos,Ondulados,Não,Casado (a),João Pessoa,2020-09-25T14:00:00.000+0000,0
42,60+,Masculino,PB,Esperança,Em situação de rua,1553.0,Azuis,Lisos,Não,Solteiro (a),Desconhecido,2021-05-03T03:00:00.000+0000,0
